TS,X,Y,Z,RX,RY,RZ
2.44869047619,-455.47628047619,-79.52313247619,"2,128.95524669048",0.25526340476,29.03915133333,-121.63738557143
21.39279417690,-172.54061542238,157.53121531047,"2,313.72151044765",22.39895363899,44.80372521300,-157.70110474368
65.82941128191,-123.02170597695,308.24998176419,"1,916.84049283333",28.98040175887,28.55185243617,-141.74881826773
111.31504473793,119.94693195862,-135.04294980345,295.04592958276,65.27750260690,34.26180847931,-167.79808355517
142.10918926210,-86.33444956855,-386.73800424597,"2,184.71233936693",-3.44943947984,27.84819608065,147.62653543145
172.65760178788,-145.11631135498,-413.47826723377,"2,479.26883476623",18.25802673593,56.20540142424,160.59792312987
197.56045270852,-10.55249212556,2.52546920628,"1,745.80838299103",15.73582865471,15.37555033632,-166.43842765023
222.30412394800,43.67301050000,360.20468593600,"1,810.45171288400",13.98209128400,24.23899964000,-144.70971211600
250.84457464561,84.95530990877,357.88175885965,278.18830354035,23.92437837544,35.11150889825,-140.06305345614
280.78632010902,120.34118498496,-113.44038205263,"2,129.54026302256",56.45277334962,37.35753305263,164.50418171805
309.17803301072,-5.32232780000,-256.26254691786,"2,422.69483732500",47.72510353571,51.75083358214,150.71790724643
338.87346041320,-154.83309187500,-377.35348403820,"2,577.60517542361",5.60687357986,53.04760059375,111.48239298958
374.76756130769,-215.61852981657,-532.95556243787,"2,381.09303564201",3.10230562130,40.54539880769,100.24309942899
433.07307494823,-165.76745014520,-513.08828527904,"1,940.62097043813",8.33886764141,21.25850688889,102.14217110859
476.92784526316,64.99097778947,70.33238378947,"1,656.00658521053",66.06373000000,11.86925368421,-173.33893547369
494.32382702749,87.38330818557,217.51620444674,"1,625.70952171478",51.37827965979,13.37082535739,-178.18663784880
521.62355072398,161.52726108145,516.27028742987,"1,854.89256047511",47.04727296380,25.49998771041,-163.96058617647
544.67598610096,195.77305772115,477.04640138942,"2,249.29704752885",57.07542063942,43.07775702885,-161.22630782692
572.57554669266,-114.35251822018,316.96925535321,"2,136.47154531193",31.62327814220,37.56489993119,-146.52149452752
602.91282147684,-229.44626214714,477.73823552044,"2,142.91879296730",30.92885211172,38.13084819619,-130.47305773570
